map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
4,0.8,0.1,1000,1e-10,6,1.0,0.0
4,0.8,0.1,1000,0.001,3,1.0,0.0
4,0.8,0.2,1000,1e-10,5,1.0,0.0
4,0.8,0.2,1000,0.001,4,0.72,0.44899888641287294
4,0.8,0.3,1000,1e-10,4,1.0,0.0
4,0.8,0.3,1000,0.001,3,0.19,0.3923009049186606
4,0.8,0.4,1000,1e-10,3,1.0,0.0
4,0.8,0.4,1000,0.001,4,1.0,0.0
4,0.8,0.5,1000,1e-10,4,0.4,0.4898979485566356
4,0.8,0.5,1000,0.001,4,0.63,0.4828043081829324
4,0.8,0.6,1000,1e-10,6,1.0,0.0
4,0.8,0.6,1000,0.001,2,0.75,0.4330127018922193
4,0.8,0.7,1000,1e-10,8,0.95,0.21794494717703375
4,0.8,0.7,1000,0.001,3,1.0,0.0
4,0.8,0.8,1000,1e-10,3,0.1,0.3
4,0.8,0.8,1000,0.001,2,0.67,0.4702127178203499
4,0.8,0.9,1000,1e-10,5,1.0,0.0
4,0.8,0.9,1000,0.001,3,0.43,0.4950757517794625
4,0.9,0.1,1000,1e-10,3,1.0,0.0
4,0.9,0.1,1000,0.001,4,1.0,0.0
4,0.9,0.2,1000,1e-10,3,1.0,0.0
4,0.9,0.2,1000,0.001,3,1.0,0.0
4,0.9,0.3,1000,1e-10,3,1.0,0.0
4,0.9,0.3,1000,0.001,4,1.0,0.0
4,0.9,0.4,1000,1e-10,3,0.8,0.4
4,0.9,0.4,1000,0.001,3,1.0,0.0
4,0.9,0.5,1000,1e-10,3,1.0,0.0
4,0.9,0.5,1000,0.001,3,1.0,0.0
4,0.9,0.6,1000,1e-10,8,1.0,0.0
4,0.9,0.6,1000,0.001,3,1.0,0.0
4,0.9,0.7,1000,1e-10,3,1.0,0.0
4,0.9,0.7,1000,0.001,3,1.0,0.0
4,0.9,0.8,1000,1e-10,4,1.0,0.0
4,0.9,0.8,1000,0.001,6,1.0,0.0
4,0.9,0.9,1000,1e-10,3,1.0,0.0
4,0.9,0.9,1000,0.001,4,1.0,0.0
4,1.0,0.1,1000,1e-10,9,1.0,0.0
4,1.0,0.1,1000,0.001,5,1.0,0.0
4,1.0,0.2,1000,1e-10,4,1.0,0.0
4,1.0,0.2,1000,0.001,4,1.0,0.0
4,1.0,0.3,1000,1e-10,4,1.0,0.0
4,1.0,0.3,1000,0.001,3,1.0,0.0
4,1.0,0.4,1000,1e-10,4,1.0,0.0
4,1.0,0.4,1000,0.001,3,1.0,0.0
4,1.0,0.5,1000,1e-10,4,1.0,0.0
4,1.0,0.5,1000,0.001,3,1.0,0.0
4,1.0,0.6,1000,1e-10,4,1.0,0.0
4,1.0,0.6,1000,0.001,3,1.0,0.0
4,1.0,0.7,1000,1e-10,7,1.0,0.0
4,1.0,0.7,1000,0.001,5,1.0,0.0
4,1.0,0.8,1000,1e-10,4,1.0,0.0
4,1.0,0.8,1000,0.001,4,1.0,0.0
4,1.0,0.9,1000,1e-10,8,1.0,0.0
4,1.0,0.9,1000,0.001,5,1.0,0.0
6,0.8,0.1,1000,1e-10,4,0.96,0.19595917942265423
6,0.8,0.1,1000,0.001,9,0.52,0.4995998398718718
6,0.8,0.2,1000,1e-10,5,0.66,0.4737087712930805
6,0.8,0.2,1000,0.001,7,0.24,0.42708313008125254
6,0.8,0.3,1000,1e-10,4,0.74,0.4386342439892262
6,0.8,0.3,1000,0.001,8,0.48,0.49959983987187184
6,0.8,0.4,1000,1e-10,5,0.93,0.2551470164434615
6,0.8,0.4,1000,0.001,6,0.65,0.47696960070847283
6,0.8,0.5,1000,1e-10,3,0.02,0.13999999999999999
6,0.8,0.5,1000,0.001,4,0.12,0.32496153618543844
6,0.8,0.6,1000,1e-10,6,0.21,0.40730823708832603
6,0.8,0.6,1000,0.001,10,0.22,0.41424630354415964
6,0.8,0.7,1000,1e-10,4,0.49,0.49989998999799945
6,0.8,0.7,1000,0.001,3,0.75,0.4330127018922193
6,0.8,0.8,1000,1e-10,3,0.65,0.4769696007084728
6,0.8,0.8,1000,0.001,4,0.89,0.31288975694324034
6,0.8,0.9,1000,1e-10,3,0.73,0.44395945760846234
6,0.8,0.9,1000,0.001,4,0.99,0.09949874371066199
6,0.9,0.1,1000,1e-10,5,0.31,0.462493243193887
6,0.9,0.1,1000,0.001,9,0.13,0.33630343441600474
6,0.9,0.2,1000,1e-10,5,0.99,0.09949874371066199
6,0.9,0.2,1000,0.001,6,0.96,0.19595917942265423
6,0.9,0.3,1000,1e-10,4,0.96,0.19595917942265428
6,0.9,0.3,1000,0.001,4,1.0,0.0
6,0.9,0.4,1000,1e-10,7,1.0,0.0
6,0.9,0.4,1000,0.001,11,0.99,0.09949874371066199
