map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
4,0.6,0.1,1000,1e-10,10,1.0,0.0
4,0.6,0.1,1000,0.001,3,0.0,0.0
4,0.6,0.2,1000,1e-10,13,0.35,0.4769696007084727
4,0.6,0.2,1000,0.001,4,0.3,0.45825756949558394
4,0.6,0.3,1000,1e-10,18,1.0,0.0
4,0.6,0.3,1000,0.001,5,0.3,0.45825756949558394
4,0.6,0.4,1000,1e-10,22,0.29,0.4537620521815371
4,0.6,0.4,1000,0.001,6,0.14,0.34698703145794946
4,0.6,0.5,1000,1e-10,27,0.06,0.23748684174075835
4,0.6,0.5,1000,0.001,7,0.94,0.23748684174075835
4,0.6,0.6,1000,1e-10,35,0.08,0.2712931993250107
4,0.6,0.6,1000,0.001,7,0.15,0.3570714214271425
4,0.6,0.7,1000,1e-10,50,0.21,0.40730823708832603
4,0.6,0.7,1000,0.001,12,0.3,0.45825756949558394
4,0.6,0.8,1000,1e-10,80,0.88,0.32496153618543844
4,0.6,0.8,1000,0.001,11,0.27,0.4439594576084623
4,0.6,0.9,1000,1e-10,149,0.94,0.23748684174075835
4,0.6,0.9,1000,0.001,14,0.1,0.3
4,0.6,1.0,1000,1e-10,218,1.0,0.0
4,0.6,1.0,1000,0.001,171,0.79,0.4073082370883261
4,0.7,0.1,1000,1e-10,10,1.0,0.0
4,0.7,0.1,1000,0.001,3,0.0,0.0
4,0.7,0.2,1000,1e-10,14,0.3,0.45825756949558394
4,0.7,0.2,1000,0.001,4,0.0,0.0
4,0.7,0.3,1000,1e-10,18,1.0,0.0
4,0.7,0.3,1000,0.001,5,1.0,0.0
4,0.7,0.4,1000,1e-10,23,0.84,0.36660605559646725
4,0.7,0.4,1000,0.001,6,1.0,0.0
4,0.7,0.5,1000,1e-10,29,1.0,0.0
4,0.7,0.5,1000,0.001,7,1.0,0.0
4,0.7,0.6,1000,1e-10,37,0.91,0.2861817604250837
4,0.7,0.6,1000,0.001,9,0.7,0.45825756949558394
4,0.7,0.7,1000,1e-10,51,0.79,0.4073082370883261
4,0.7,0.7,1000,0.001,10,0.45,0.49749371855331
4,0.7,0.8,1000,1e-10,68,1.0,0.0
4,0.7,0.8,1000,0.001,18,1.0,0.0
4,0.7,0.9,1000,1e-10,128,1.0,0.0
4,0.7,0.9,1000,0.001,27,0.54,0.49839743177508444
4,0.7,1.0,1000,1e-10,999,0.82,0.38418745424597095
4,0.7,1.0,1000,0.001,63,0.15,0.3570714214271425
4,0.8,0.1,1000,1e-10,10,0.31,0.462493243193887
4,0.8,0.1,1000,0.001,4,1.0,0.0
4,0.8,0.2,1000,1e-10,14,1.0,0.0
4,0.8,0.2,1000,0.001,4,0.0,0.0
4,0.8,0.3,1000,1e-10,18,0.94,0.23748684174075835
